date, pm25, pm10, o3, no2, so2, co
2024/11/2, 30, 36, , 3, 1, 4
2024/11/3, 67, 36, , 4, 1, 4
2024/11/4, 67, 41, , 2, , 4
2024/11/5, 78, 41, , 1, , 3
2024/11/6, 64, 32, , 2, , 
2024/11/7, 51, 29, , 2, , 4
2024/11/8, 44, 37, , 5, , 3
2024/11/9, 61, 33, , 4, 1, 3
2024/11/10, 61, 31, , 3, , 3
2024/11/11, 51, 23, , 1, , 3
2024/11/12, 37, 24, , 3, , 4
2024/11/13, 47, 25, , 3, , 3
2024/11/14, 47, 31, , 8, , 2
2024/11/15, 61, 23, , 4, , 1
2024/11/16, 36, 27, , 2, , 1
2024/11/17, 41, 28, , 1, , 1
2024/11/18, 37, 14, , 1, , 1
2024/11/19, 24, 9, , 3, , 1
2024/11/20, 19, 20, , 3, , 2
2024/11/21, 56, 25, , 2, , 2
2024/11/22, 54, 30, , 2, , 2
2024/11/23, 62, 25, , 2, , 1
2024/11/24, 45, 19, , 6, , 2
2024/11/25, 45, 16, , 4, , 4
2024/11/26, 39, 29, , 3, , 3
2024/11/27, 54, 25, , 3, 1, 2
2024/11/28, 47, 38, , 4, 1, 2
2024/11/29, 58, 41, , 5, 1, 2
2024/11/30, 62, 39, , 8, 1, 3
2024/12/1, 71, 50, , 12, 1, 4
2024/12/2, 91, 43, , 13, 1, 3
2024/12/3, 83, 39, , 3, , 3
2024/12/4, 65, 40, , 4, , 3
2024/12/5, 69, 38, , 3, , 2
2024/12/6, 73, 29, , 5, , 2
2024/12/7, 62, 39, , 5, 1, 3
2024/12/8, 79, 31, , 5, , 2
2024/12/9, 66, 28, , 4, , 2
2024/12/10, 53, 33, , 6, , 3
2024/12/11, 64, 23, , 5, , 3
2024/12/12, 47, 31, , 9, 1, 5
2024/12/13, 64, 38, , 3, 3, 4
2024/12/14, 76, 54, , 5, 2, 4
2024/12/15, 112, 50, , 7, 2, 3
2024/12/16, 87, 46, , 8, 1, 3
2024/12/17, 80, 40, , 5, 1, 2
2024/12/18, 69, 50, , 6, 1, 3
2024/12/19, 85, 27, , 7, , 2
2024/12/20, 55, 44, , 12, 1, 3
2024/12/21, 76, 61, , 7, 2, 3
2024/12/22, 110, 32, , 5, , 2
2024/12/23, 59, 28, , 6, 1, 1
2024/12/24, 45, 31, , 8, , 2
2024/12/25, 54, 51, , 12, 1, 3
2024/12/26, 91, 53, , 6, 1, 3
2024/12/27, 103, 64, , 9, 1, 5
2024/12/28, 129, 49, , 7, 1, 3
2024/12/29, 75, , , , , 
2024/7/1, 32, 15, , , 1, 1
2024/7/2, 21, 12, , , 1, 1
2024/7/3, 19, 14, , 2, 2, 1
2024/7/4, 22, 10, , 3, 1, 2
2024/7/5, 30, 13, , 1, 1, 1
2024/7/6, 25, 11, , 2, 2, 2
2024/7/7, 15, 10, , 1, 2, 1
2024/7/9, 16, 10, , 1, 2, 2
